Env,Variety,isolate,HP,lesionO,index
2,Ky21,FV34768,Ky21xFV34768,33,2109
2,Ky21,FV34765,Ky21xFV34765,17,2111
2,Ky21,FV34765,Ky21xFV34765,26,2112
2,Ky21,FV34761,Ky21xFV34761,19,2113
2,Ky21,FV34761,Ky21xFV34761,7,2114
2,Mo18W,FV34775,Mo18WxFV34775,32,2131
2,Mo18W,FV34775,Mo18WxFV34775,90,2132
2,Mo18W,FV34775,Mo18WxFV34775,45,2133
2,Mo18W,FV34768,Mo18WxFV34768,69,2134
2,Mo18W,FV34768,Mo18WxFV34768,67,2135
2,Mo18W,FV34768,Mo18WxFV34768,55,2136
2,Mo18W,FV34765,Mo18WxFV34765,38,2137
2,Mo18W,FV34765,Mo18WxFV34765,62,2138
2,Mo18W,FV34765,Mo18WxFV34765,40,2139
2,Mo18W,FV34761,Mo18WxFV34761,42,2141
2,Mo18W,FV34761,Mo18WxFV34761,58,2142
2,Mo18W,FV34754,Mo18WxFV34754,42,2143
2,Mo18W,FV34754,Mo18WxFV34754,47,2144
2,Mo18W,FV34754,Mo18WxFV34754,49,2145
2,Mo18W,FV28947,Mo18WxFV28947,48,2146
2,Mo18W,FV28947,Mo18WxFV28947,49,2147
2,Mo18W,FV28947,Mo18WxFV28947,57,2148
2,Mo18W,FV28946,Mo18WxFV28946,31,2149
2,Mo18W,FV28946,Mo18WxFV28946,82,2151
2,CML157Q,FV34768,CML157QxFV34768,47,2161
2,CML157Q,FV34768,CML157QxFV34768,52,2162
2,CML157Q,FV34768,CML157QxFV34768,45,2163
2,CML157Q,FV34765,CML157QxFV34765,45,2164
2,CML157Q,FV34765,CML157QxFV34765,43,2165
2,CML157Q,FV34765,CML157QxFV34765,28,2166
2,CML157Q,FV34761,CML157QxFV34761,39,2167
2,CML157Q,FV34761,CML157QxFV34761,26,2168
2,CML157Q,FV34761,CML157QxFV34761,34,2169
2,CML157Q,FV34754,CML157QxFV34754,42,2170
2,CML157Q,FV34754,CML157QxFV34754,34,2171
2,CML157Q,FV34754,CML157QxFV34754,24,2172
2,CML157Q,FV28947,CML157QxFV28947,15,2173
2,CML157Q,FV28947,CML157QxFV28947,30,2175
2,CML157Q,FV28946,CML157QxFV28946,24,2176
2,CML157Q,FV28946,CML157QxFV28946,22,2177
2,CML157Q,FV28946,CML157QxFV28946,39,2178
2,CML157Q,FV28945,CML157QxFV28945,15,2179
2,CML157Q,FV28945,CML157QxFV28945,26,2180
2,NC310,FV34765,NC310xFV34765,30,2192
2,NC310,FV34765,NC310xFV34765,38,2193
2,NC310,FV34761,NC310xFV34761,32,2194
2,NC310,FV34761,NC310xFV34761,42,2196
2,NC310,FV34754,NC310xFV34754,30,2197
2,NC310,FV34754,NC310xFV34754,14,2198
2,B73,FV34761,B73xFV34761,10,2221
2,B73,FV34761,B73xFV34761,10,2223
2,B73,FV34754,B73xFV34754,9,2224
2,B73,FV34754,B73xFV34754,12,2225
2,B73,FV28947,B73xFV28947,10,2228
2,B73,FV28946,B73xFV28946,29,2232
2,B73,FV28945,B73xFV28945,13,2233
2,CML247,FV34754,CML247xFV34754,18,2251
2,CML247,FV34754,CML247xFV34754,80,2252
2,CML247,FV34754,CML247xFV34754,38,2253
2,CML247,FV28946,CML247xFV28946,30,2257
2,CML247,FV28946,CML247xFV28946,17,2258
2,CML247,FV28946,CML247xFV28946,23,2259
2,CML247,FV28945,CML247xFV28945,15,2262
2,CML247,FV26518,CML247xFV26518,30,2263
2,CML247,FV26518,CML247xFV26518,56,2265
2,CML247,FV25457,CML247xFV25457,34,2272
2,NC350,FV28947,NC350xFV28947,21,2282
2,NC350,FV28947,NC350xFV28947,8,2283
2,NC350,FV28946,NC350xFV28946,26,2285
2,NC350,FV28945,NC350xFV28945,31,2287
2,Mo24W,FV28945,Mo24WxFV28945,27,2341
2,Mo24W,FV28945,Mo24WxFV28945,29,2342
2,Mo24W,FV28945,Mo24WxFV28945,34,2343
2,Mo24W,FV26518,Mo24WxFV26518,46,2344
