"ENV","Plot","Rep","Bloc","DH","GY","EPP","ASI","AD","PH","SD","uid","EID"
"16DS",26,1,3,1,4,0.95,4,58,184.67,62,"16DS_1",3
"16DS",28,1,3,154,4.06,1,4,58,186.33,62,"16DS_154",3
"16DS",29,1,3,141,3.67,0.81,3,58,188.67,61,"16DS_141",3
"16DS",30,1,3,17,3.7,1.06,4,62,198.67,66,"16DS_17",3
"16DS",32,1,3,139,3.94,1.07,4,58,193.33,62,"16DS_139",3
"16DS",33,1,3,30,4.86,1.05,4,57,188,61,"16DS_30",3
"16DS",34,1,4,19,2.96,1.1,1,62,185.33,63,"16DS_19",3
"16DS",36,1,4,68,5.21,1.1,2,57,198,59,"16DS_68",3
"16DS",37,1,4,28,4.15,0.95,5,57,185.67,62,"16DS_28",3
"16DS",38,1,4,18,3.23,0.89,4,58,166,62,"16DS_18",3
"16DS",39,1,4,24,3.76,0.89,2,62,180.67,64,"16DS_24",3
"16DS",40,1,4,61,4.09,1,6,60,188,66,"16DS_61",3
"16DS",41,1,4,92,4.27,0.95,1,57,179.33,58,"16DS_92",3
"16DS",42,1,4,26,3.67,0.74,4,58,188.33,62,"16DS_26",3
"16DS",45,1,5,138,3.76,1,2,60,160,62,"16DS_138",3
"16DS",46,1,5,81,4.53,1,3,58,192.33,61,"16DS_81",3
"16DS",47,1,5,133,2.7,1.13,2,58,182.33,60,"16DS_133",3
"16DS",48,1,5,4,4.89,0.95,2,60,180.67,62,"16DS_4",3
"16DS",49,1,5,145,4.44,0.96,3,59,178.33,62,"16DS_145",3
"16DS",50,1,5,121,0,0,0,NA,70.67,NA,"16DS_121",3
"16DS",51,1,5,14,2.79,0.83,7,62,160,69,"16DS_14",3
"16DS",54,1,5,96,3.53,0.95,8,58,191.67,66,"16DS_96",3
"16DS",56,1,6,131,4.53,0.87,4,58,164.33,62,"16DS_131",3
"16DS",57,1,6,11,4.39,0.96,3,58,173.67,61,"16DS_11",3
"16DS",58,1,6,10,3.56,0.95,4,58,168.67,62,"16DS_10",3
"16DS",60,1,6,55,3.85,0.81,3,62,190.67,65,"16DS_55",3
"16DS",61,1,6,5,3.38,1.13,4,58,189,62,"16DS_5",3
"16DS",62,1,6,53,3.11,0.76,3,62,181.67,65,"16DS_53",3
"16DS",63,1,6,54,3.85,1,2,60,189.67,62,"16DS_54",3
"16DS",64,1,6,177,3.53,0.77,3,58,193.67,61,"16DS_177",3
"16DS",66,1,6,47,5.36,1,1,58,202.33,59,"16DS_47",3
"16DS",67,1,7,156,4.44,0.91,2,58,187.33,60,"16DS_156",3
"16DS",68,1,7,66,4.15,1.15,9,58,186.33,67,"16DS_66",3
"16DS",69,1,7,90,0.98,0.63,6,58,179.33,64,"16DS_90",3
"16DS",70,1,7,35,4.83,1.14,3,58,186,61,"16DS_35",3
"16DS",71,1,7,36,4.27,0.93,2,58,192,60,"16DS_36",3
"16DS",72,1,7,83,3.59,1,4,58,189,62,"16DS_83",3
"16DS",74,1,7,48,4.5,0.9,4,58,183.67,62,"16DS_48",3
"16DS",75,1,7,95,4.44,1.06,1,58,187,59,"16DS_95",3
"16DS",76,1,7,3,4.62,1.17,1,57,186,58,"16DS_3",3
"16DS",77,1,7,94,1.87,0.67,4,59,183,63,"16DS_94",3
"16DS",78,1,8,114,3.29,0.9,0,62,192,62,"16DS_114",3
"16DS",79,1,8,67,3.35,0.87,4,62,191.33,66,"16DS_67",3
"16DS",81,1,8,125,3.79,0.83,3,59,170.67,62,"16DS_125",3
"16DS",82,1,8,103,2.01,0.91,1,62,184.67,63,"16DS_103",3
"16DS",83,1,8,82,4.33,0.82,1,57,199.67,58,"16DS_82",3
"16DS",84,1,8,158,2.93,1.05,4,59,197.67,63,"16DS_158",3
"16DS",85,1,8,38,4.95,0.88,2,56,188.67,58,"16DS_38",3
"16DS",87,1,8,27,2.37,0.78,3,62,188.33,65,"16DS_27",3
"16DS",88,1,8,76,3.82,0.95,1,62,187,63,"16DS_76",3
"16DS",90,1,9,135,3.5,0.95,4,58,179.67,62,"16DS_135",3
"16DS",91,1,9,70,3.38,0.89,3,59,184,62,"16DS_70",3
"16DS",92,1,9,65,3.85,0.9,3,59,190.33,62,"16DS_65",3
"16DS",93,1,9,20,3.17,0.91,3,59,181,62,"16DS_20",3
"16DS",96,1,9,112,3.11,0.91,5,58,180,63,"16DS_112",3
"16DS",98,1,9,77,2.55,0.83,4,62,163,66,"16DS_77",3
"16DS",99,1,9,78,4,1,4,59,169.33,63,"16DS_78",3
"16DS",100,1,10,165,2.93,0.89,3,62,144.67,65,"16DS_165",3
"16DS",102,1,10,40,1.99,1.29,2,58,161.67,60,"16DS_40",3
"16DS",103,1,10,15,4.41,1.11,2,62,174,64,"16DS_15",3
"16DS",104,1,10,33,2.25,1,3,59,172,62,"16DS_33",3
"16DS",105,1,10,13,4.98,1,3,59,169.67,62,"16DS_13",3
"16DS",107,1,10,52,3.47,0.86,5,58,190,63,"16DS_52",3
"16DS",108,1,10,60,4.44,1.18,4,58,195.67,62,"16DS_60",3
"16DS",109,1,10,16,2.99,1,1,62,182.67,63,"16DS_16",3
"16DS",110,1,10,142,5.69,0.95,3,59,181.33,62,"16DS_142",3
"16DS",111,1,11,42,4.15,0.89,1,58,186,59,"16DS_42",3
"16DS",113,1,11,97,5.3,1,4,58,196.67,62,"16DS_97",3
"16DS",114,1,11,106,3.26,1.2,4,58,196.67,62,"16DS_106",3
"16DS",115,1,11,8,5.39,0.82,2,58,195.67,60,"16DS_8",3
"16DS",116,1,11,93,4.24,1.5,1,58,194.33,59,"16DS_93",3
"16DS",118,1,11,6,4.65,0.95,1,58,176,59,"16DS_6",3
"16DS",120,1,11,57,2.7,0.86,2,58,183,60,"16DS_57",3
"16DS",121,1,11,9,4.03,1.06,2,58,191.33,60,"16DS_9",3
"16WW",1,1,1,75,7.23,1,2,58,177,60,"16WW_75",4
"16WW",2,1,1,69,5.04,1.36,2,60,204,62,"16WW_69",4
"16WW",3,1,1,17,5.16,0.92,0,62,203.33,62,"16WW_17",4
"16WW",4,1,1,40,4.92,0.88,0,58,210.33,58,"16WW_40",4
"16WW",6,1,1,94,6.58,0.91,0,58,200,58,"16WW_94",4
"16WW",7,1,1,145,6.1,1.17,2,57,214,59,"16WW_145",4
"16WW",10,1,1,158,5.51,1.13,4,58,209,62,"16WW_158",4
"16WW",11,1,1,29,6.4,0.87,4,58,220,62,"16WW_29",4
"16WW",13,1,2,121,0,0,0,NA,92,NA,"16WW_121",4
"16WW",14,1,2,159,9.21,1.05,0,58,196,58,"16WW_159",4
"16WW",18,1,2,66,6.7,1.18,4,58,194.33,62,"16WW_66",4
"16WW",19,1,2,125,6.87,0.96,4,58,186,62,"16WW_125",4
"16WW",20,1,2,2,3.2,1,2,60,187,62,"16WW_2",4
"16WW",21,1,2,106,3.73,1.18,2,58,206.67,60,"16WW_106",4
"16WW",22,1,2,92,6.87,1,1,59,192.33,60,"16WW_92",4
"16WW",23,1,3,133,6.16,1.06,1,59,191,60,"16WW_133",4
"16WW",24,1,3,53,5.01,1,4,58,186,62,"16WW_53",4
"16WW",25,1,3,82,5.16,1,2,58,182,60,"16WW_82",4
"16WW",26,1,3,85,5.19,1,3,58,159.67,61,"16WW_85",4
"16WW",28,1,3,142,6.84,1.11,2,60,159.67,62,"16WW_142",4
"16WW",30,1,3,58,5.48,1,0,66,203.33,66,"16WW_58",4
"16WW",31,1,3,67,5.66,0.95,2,61,194.67,63,"16WW_67",4
"16WW",32,1,3,1,3.29,0.86,3,58,189,61,"16WW_1",4
"16WW",33,1,3,136,5.66,0.95,4,58,191,62,"16WW_136",4
"16WW",35,1,4,96,4.03,1,5,61,213,66,"16WW_96",4
"16WW",36,1,4,61,4.83,1.15,4,61,208.33,65,"16WW_61",4
"16WW",37,1,4,25,7.23,1.14,3,59,203,62,"16WW_25",4
"16WW",38,1,4,37,4.53,1.18,1,59,199,60,"16WW_37",4
"16WW",39,1,4,24,6.28,1.16,2,61,203,63,"16WW_24",4
"16WW",41,1,4,4,6.7,0.95,1,58,208.67,59,"16WW_4",4
"16WW",42,1,4,138,5.99,1.06,1,57,182.67,58,"16WW_138",4
"16WW",44,1,4,60,5.87,1,3,59,201,62,"16WW_60",4
"16WW",45,1,5,154,5.13,0.95,7,59,192,66,"16WW_154",4
"16WW",47,1,5,30,6.67,0.92,3,60,198.33,63,"16WW_30",4
"16WW",48,1,5,141,6.01,1.1,2,59,198.67,61,"16WW_141",4
"16WW",49,1,5,47,6.76,0.87,1,58,202,59,"16WW_47",4
"16WW",50,1,5,55,7.05,0.95,2,61,206.67,63,"16WW_55",4
"16WW",51,1,5,11,7.14,1.11,1,58,191.67,59,"16WW_11",4
"16WW",52,1,5,89,7.05,1,1,58,203,59,"16WW_89",4
"16WW",54,1,5,14,7.14,1.1,4,59,179,63,"16WW_14",4
"16WW",55,1,5,42,6.46,0.95,3,57,188.33,60,"16WW_42",4
"16WW",56,1,6,114,7.7,1.23,4,58,210.33,62,"16WW_114",4
"16WW",57,1,6,135,6.01,0.9,6,55,193,61,"16WW_135",4
"16WW",58,1,6,103,5.42,0.93,3,58,201,61,"16WW_103",4
"16WW",59,1,6,128,5.87,1,4,58,183,62,"16WW_128",4
"16WW",60,1,6,97,7.53,0.88,4,58,204.33,62,"16WW_97",4
"16WW",61,1,6,64,4.5,0.91,6,60,201,66,"16WW_64",4
"16WW",62,1,6,16,6.25,1,4,58,195,62,"16WW_16",4
"16WW",63,1,6,78,6.4,0.94,3,58,191.33,61,"16WW_78",4
"16WW",64,1,6,18,6.04,0.85,3,58,179,61,"16WW_18",4
"16WW",65,1,6,6,4.3,0.87,2,57,186.67,59,"16WW_6",4
"16WW",66,1,6,95,8.59,1.04,2,58,207.33,60,"16WW_95",4
"16WW",68,1,7,165,6.99,1.05,4,57,193.33,61,"16WW_165",4
"16WW",72,1,7,156,7.2,0.95,3,57,189,60,"16WW_156",4
"16WW",73,1,7,87,5.63,1.05,4,58,199.67,62,"16WW_87",4
"16WW",74,1,7,35,6.37,0.91,3,58,189,61,"16WW_35",4
"16WW",76,1,7,83,6.79,1,4,57,190,61,"16WW_83",4
"16WW",77,1,7,27,2.9,0.96,5,62,189,67,"16WW_27",4
"16WW",79,1,8,57,5.3,1.16,4,56,180,60,"16WW_57",4
"16WW",80,1,8,48,3.64,1,6,60,179.67,66,"16WW_48",4
"16WW",81,1,8,15,5.13,0.92,4,62,181.67,66,"16WW_15",4
"16WW",82,1,8,33,4.71,1.07,2,60,163.67,62,"16WW_33",4
"16WW",83,1,8,3,3.79,1,2,58,161.67,60,"16WW_3",4
"16WW",84,1,8,10,6.13,1.05,3,59,161.67,62,"16WW_10",4
"16WW",85,1,8,172,6.79,1,4,59,185,63,"16WW_172",4
"16WW",86,1,8,143,6.01,1,1,57,186.33,58,"16WW_143",4
"16WW",87,1,8,123,0.59,0.57,0,64,147.67,64,"16WW_123",4
"16WW",88,1,8,93,3.67,1.38,3,60,180.67,63,"16WW_93",4
"16WW",89,1,9,9,7.61,1.05,1,57,200.33,58,"16WW_9",4
"16WW",90,1,9,90,4.44,1,1,58,190,59,"16WW_90",4
"16WW",92,1,9,107,5.78,0.95,1,58,186,59,"16WW_107",4
